date,description,amount,reference,balance
2026-06-02,OPENING BALANCE FORWARD,1250450.0,BAL-0601,1250450.0
2026-06-05,STRIPE PAYOUT SETTLEMENT - BATCH 8841,45210.5,STRIPE-8841,1295660.5
2026-06-08,PAYPAL MERCHANT TRANSFER 9920,18450.25,PAYPAL-9920,1314110.75
2026-06-12,ADYEN NV NET PAYOUT REF 4410,32890.0,ADYEN-4410,1347000.75
2026-06-15,WIRE OUT - AWS CLOUD HOSTING CORP,-14200.0,WIRE-AWS-06,1332800.75
2026-06-18,SQUARE INC MERCHANT DEPOSIT 7711,12450.8,SQ-7711,1345251.55
2026-06-22,STRIPE PAYOUT SETTLEMENT - BATCH 8892,52140.0,STRIPE-8892,1397391.55
2026-06-26,PAYROLL DIRECT DEBIT ACH BATCH,-85400.0,ACH-PAYROLL-06,1311991.55
2026-06-30,COMMERCIAL ACCOUNT MONTHLY INTEREST,3415.2,INT-202606,1315406.75
2026-07-03,STRIPE PAYOUT SETTLEMENT - BATCH 8914,48950.0,STRIPE-8914,1364356.75
2026-07-07,PAYPAL MERCHANT TRANSFER 9988,21340.5,PAYPAL-9988,1385697.25
2026-07-10,ADYEN NV NET PAYOUT REF 4480,29400.0,ADYEN-4480,1415097.25
2026-07-14,STRIPE DISPUTE DEBIT HOLD #9102,-2450.0,DISP-9102,1412647.25
2026-07-17,SQUARE INC MERCHANT DEPOSIT 7750,15820.4,SQ-7750,1428467.65
2026-07-21,WIRE OUT - OFFICE LEASE METROPOLIS,-22500.0,WIRE-LEASE-07,1405967.65
2026-07-25,STRIPE PAYOUT SETTLEMENT - BATCH 8955,61200.0,STRIPE-8955,1467167.65
2026-07-28,PAYROLL DIRECT DEBIT ACH BATCH,-86100.0,ACH-PAYROLL-07,1381067.65
2026-07-31,COMMERCIAL ACCOUNT MONTHLY INTEREST,3620.1,INT-202607,1384687.75
2026-08-04,STRIPE PAYOUT SETTLEMENT - BATCH 9012,54310.0,STRIPE-9012,1438997.75
2026-08-08,PAYPAL MERCHANT TRANSFER 1004,19800.0,PAYPAL-1004,1458797.75
2026-08-11,ADYEN NV NET PAYOUT REF 4520,34120.0,ADYEN-4520,1492917.75
2026-08-15,WIRE OUT - HARDWARE & SERVERS LTD,-18900.0,WIRE-HW-08,1474017.75
2026-08-18,SQUARE INC MERCHANT DEPOSIT 7801,14230.9,SQ-7801,1488248.65
2026-08-22,STRIPE PAYOUT SETTLEMENT - BATCH 9066,58400.0,STRIPE-9066,1546648.65
2026-08-25,DISCREPANCY UNMATCHED DEPOSIT,7500.0,UNMATCH-0825,1554148.65
2026-08-28,PAYROLL DIRECT DEBIT ACH BATCH,-86500.0,ACH-PAYROLL-08,1467648.65
2026-08-31,CLOSING STATEMENT BALANCE,0.0,CLOSE-0831,1467648.65
