date,description,amount,currency,reference,source,status
2026-06-01,STRIPE Gateway Payout - Acme E-Commerce SaaS,4324.50,USD,STRIPE-BATCH-1001,stripe,PENDING_REVIEW
2026-06-01,ADYEN Gateway Payout - Quantum Retail Checkout,27673.40,USD,ADYEN-BATCH-1002,adyen,PENDING_REVIEW
2026-06-02,STRIPE Gateway Payout - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1003,stripe,SETTLED
2026-06-02,SQUARE Gateway Payout - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1004,square,SETTLED
2026-06-03,PAYPAL Gateway Payout - Apex Global Subscriptions,6602.80,USD,PAYPAL-BATCH-1005,paypal,SETTLED
2026-06-03,STRIPE Gateway Payout - Helios Enterprise API,33111.10,USD,STRIPE-BATCH-1006,stripe,SETTLED
2026-06-04,ADYEN Gateway Payout - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1007,adyen,SETTLED
2026-06-04,RAZORPAY Gateway Payout - Zenith Digital Marketplace,17745.00,USD,RAZORPAY-BATCH-1008,razorpay,SETTLED
2026-06-05,SQUARE Gateway Payout - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1009,square,SETTLED
2026-06-05,ADYEN Gateway Payout - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1010,adyen,SETTLED
2026-06-08,ADYEN Gateway Payout - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1011,adyen,SETTLED
2026-06-08,STRIPE Gateway Payout - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1012,stripe,SETTLED
2026-06-09,WIRE Gateway Payout - Omni Corp Enterprise Wire,51975.00,USD,WIRE-BATCH-1013,wire,SETTLED
2026-06-09,STRIPE Gateway Payout - Nova Cloud Services,12137.50,USD,STRIPE-BATCH-1014,stripe,SETTLED
2026-06-10,STRIPE Gateway Payout - Strata Systems Billing,21167.80,USD,STRIPE-BATCH-1015,stripe,SETTLED
2026-06-10,PAYPAL Gateway Payout - Apex Global Subscriptions,6602.80,USD,PAYPAL-BATCH-1016,paypal,SETTLED
2026-06-11,STRIPE Gateway Payout - Acme E-Commerce SaaS,4369.50,USD,STRIPE-BATCH-1017,stripe,SETTLED
2026-06-11,ADYEN Gateway Payout - Quantum Retail Checkout,27718.40,USD,ADYEN-BATCH-1018,adyen,SETTLED
2026-06-12,STRIPE Gateway Payout - Nova Cloud Services,12092.50,USD,STRIPE-BATCH-1019,stripe,PENDING_REVIEW
2026-06-12,SQUARE Gateway Payout - Vertex Point of Sale,8888.20,USD,SQUARE-BATCH-1020,square,PENDING_REVIEW
2026-06-15,SQUARE Gateway Payout - Vertex Point of Sale,8933.20,USD,SQUARE-BATCH-1021,square,SETTLED
2026-06-15,ADYEN Gateway Payout - Horizon Mobile In-App,14542.40,USD,ADYEN-BATCH-1022,adyen,SETTLED
2026-06-16,STRIPE Gateway Payout - Helios Enterprise API,33111.10,USD,STRIPE-BATCH-1023,stripe,SETTLED
2026-06-16,WIRE Gateway Payout - Omni Corp Enterprise Wire,51975.00,USD,WIRE-BATCH-1024,wire,SETTLED
2026-06-16,Stripe Direct Checkout - Uncaptured Break #1025,1075.00,USD,STRIPE-UNREC-1025,stripe,EXCEPTION
