step,timestamp,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,2026-08-01 01:00:00,PAYMENT,7289.58,C193941545,251512.81,244223.23,M881177329,28536.4,35825.98,0,0
1,2026-08-01 01:00:00,CASH_OUT,34429.78,C474918945,238289.55,203859.77,C324063878,57415.37,91845.15,0,0
1,2026-08-01 01:00:00,PAYMENT,1415.26,C972934100,197037.25,195621.99,M596497509,137454.97,138870.23,0,0
1,2026-08-01 01:00:00,DEBIT,2019.27,C151757705,342666.76,340647.49,C117329862,105580.68,107599.95,0,0
1,2026-08-01 01:00:00,CASH_OUT,7949.16,C564557316,46572.0,38622.84,C899023371,20297.06,28246.22,0,0
1,2026-08-01 01:00:00,TRANSFER,1186.91,C370234969,171153.53,169966.62,C746702373,57299.18,58486.09,0,0
1,2026-08-01 01:00:00,PAYMENT,1136.38,C772702123,218600.16,217463.78,M365307350,113399.28,114535.66,0,0
1,2026-08-01 01:00:00,PAYMENT,287.54,C743328658,347912.07,347624.53,M302806069,99716.67,100004.21,0,0
1,2026-08-01 01:00:00,DEBIT,119.59,C670890388,190135.38,190015.79,C753731399,23348.8,23468.39,0,0
1,2026-08-01 01:00:00,PAYMENT,299.21,C339765368,155108.47,154809.26,M740308238,9372.31,9671.52,0,0
1,2026-08-01 01:00:00,PAYMENT,7194.45,C685464225,322841.0,315646.55,M439514397,102249.72,109444.17,0,0
1,2026-08-01 01:00:00,TRANSFER,354.21,C850071397,177480.87,177126.66,C262503222,91353.42,91707.63,0,0
1,2026-08-01 01:00:00,PAYMENT,3942.74,C269670094,328760.04,324817.3,M595975496,8901.41,12844.15,0,0
1,2026-08-01 01:00:00,TRANSFER,19473.15,C822730791,262768.04,243294.89,C697682796,146221.78,165694.93,0,0
1,2026-08-01 01:00:00,CASH_OUT,2335.51,C804337871,59177.47,56841.96,C990575163,37865.79,40201.3,0,0
1,2026-08-01 01:00:00,TRANSFER,445.62,C811090034,59029.25,58583.63,C480265095,57903.53,58349.15,0,0
1,2026-08-01 01:00:00,CASH_IN,1468.13,C198363153,111631.83,113099.96,C240743854,26639.62,25171.49,0,0
1,2026-08-01 01:00:00,DEBIT,3325.01,C436732026,24149.27,20824.26,C536313847,124278.33,127603.34,0,0
1,2026-08-01 01:00:00,PAYMENT,3352.47,C983463728,190118.03,186765.56,M143067255,144385.23,147737.7,0,0
1,2026-08-01 01:00:00,TRANSFER,2185.46,C908864956,300979.95,298794.49,C347012259,31995.85,34181.31,0,0
1,2026-08-01 01:00:00,TRANSFER,4972.51,C458680640,140308.61,135336.1,C628192328,42475.36,47447.87,0,0
1,2026-08-01 01:00:00,CASH_OUT,8954.52,C342705866,227086.67,218132.15,C719220505,105977.4,114931.92,0,0
1,2026-08-01 01:00:00,PAYMENT,844.06,C648446883,343528.07,342684.01,M830762835,79183.38,80027.44,0,0
1,2026-08-01 01:00:00,CASH_IN,17117.77,C952293855,68210.15,85327.92,C681933797,15760.12,0.0,0,0
1,2026-08-01 01:00:00,CASH_OUT,3068.71,C339239643,125644.0,122575.29,C117353850,139292.89,142361.6,0,0
2,2026-08-01 02:00:00,TRANSFER,56.39,C129884741,9233.93,9177.54,C771124293,91672.67,91729.06,0,0
2,2026-08-01 02:00:00,CASH_OUT,1343.67,C747945734,81546.95,80203.28,C769183649,45188.63,46532.3,0,0
2,2026-08-01 02:00:00,TRANSFER,1374.68,C458989372,272907.11,271532.43,C236755259,73470.47,74845.15,0,0
2,2026-08-01 02:00:00,CASH_OUT,10185.48,C760425919,229978.28,219792.8,C936890364,75037.03,85222.51,0,0
2,2026-08-01 02:00:00,TRANSFER,718.35,C131498087,274441.0,273722.65,C138974176,78812.66,79531.01,0,0
2,2026-08-01 02:00:00,PAYMENT,2300.39,C120924503,149147.08,146846.69,M142881660,74595.85,76896.24,0,0
2,2026-08-01 02:00:00,PAYMENT,191.68,C769334985,257603.91,257412.23,M662662996,84268.99,84460.67,0,0
2,2026-08-01 02:00:00,DEBIT,483.97,C616608939,210045.2,209561.23,C706240424,59002.91,59486.88,0,0
2,2026-08-01 02:00:00,TRANSFER,6476.53,C222003399,115282.2,108805.67,C103882052,21924.4,28400.93,0,0
2,2026-08-01 02:00:00,CASH_IN,261.17,C502063641,144635.11,144896.28,C844943353,99687.47,99426.3,0,0
2,2026-08-01 02:00:00,PAYMENT,8485.49,C885154704,189695.0,181209.51,M988118454,118872.97,127358.46,0,0
2,2026-08-01 02:00:00,PAYMENT,11208.01,C593357218,334773.96,323565.95,M504841032,126152.73,137360.74,0,0
2,2026-08-01 02:00:00,PAYMENT,13181.53,C541805997,326011.05,312829.52,M740006523,3292.82,16474.35,0,0
2,2026-08-01 02:00:00,TRANSFER,21434.26,C745176620,345273.86,323839.6,C765468460,60693.8,82128.06,0,0
2,2026-08-01 02:00:00,TRANSFER,6254.72,C675975754,6235.9,0.0,C596580668,146765.74,153020.46,0,0
2,2026-08-01 02:00:00,PAYMENT,3576.46,C104161679,251154.35,247577.89,M470852256,9384.46,12960.92,0,0
2,2026-08-01 02:00:00,CASH_OUT,4877.74,C398011945,313182.08,308304.34,C485247704,117833.11,122710.85,0,0
3,2026-08-01 03:00:00,TRANSFER,2031.48,C645689437,258880.33,256848.85,C769686126,18916.94,20948.42,0,0
3,2026-08-01 03:00:00,PAYMENT,999.51,C640461543,146032.08,145032.57,M495354367,123695.87,124695.38,0,0
3,2026-08-01 03:00:00,TRANSFER,6204.18,C271156869,253814.71,247610.53,C317211239,100833.19,107037.37,0,0
3,2026-08-01 03:00:00,CASH_OUT,3713.97,C284149011,155724.58,152010.61,C257674094,108754.96,112468.93,0,0
3,2026-08-01 03:00:00,PAYMENT,7399.51,C479778259,250111.38,242711.87,M408586514,146598.17,153997.68,0,0
3,2026-08-01 03:00:00,PAYMENT,1299.97,C483560215,273232.61,271932.64,M568172746,140922.57,142222.54,0,0
3,2026-08-01 03:00:00,PAYMENT,1495.83,C534744922,295195.71,293699.88,M864786439,45655.72,47151.55,0,0
3,2026-08-01 03:00:00,CASH_OUT,2541.11,C544398530,254944.53,252403.42,C850788293,56282.48,58823.59,0,0
