entity,form,fiscal_year,fiscal_period,start_date,end_date,filed_date,operating_cash_flow
Apple Inc.,10-Q,2026,Q3,2025-09-28,2026-06-27,2026-07-31,116996000000
Apple Inc.,10-Q,2026,Q2,2025-09-28,2026-03-28,2026-05-01,82627000000
Apple Inc.,10-Q,2026,Q1,2025-09-28,2025-12-27,2026-01-30,53925000000
Apple Inc.,10-K,2025,FY,2024-09-29,2025-09-27,2025-10-31,111482000000
Apple Inc.,10-Q,2025,Q3,2024-09-29,2025-06-28,2025-08-01,81754000000
Apple Inc.,10-Q,2025,Q2,2024-09-29,2025-03-29,2025-05-02,53887000000
Apple Inc.,10-Q,2025,Q1,2024-09-29,2024-12-28,2025-01-31,29935000000
Apple Inc.,10-K,2024,FY,2023-10-01,2024-09-28,2024-11-01,118254000000
Apple Inc.,10-Q,2024,Q3,2023-10-01,2024-06-29,2024-08-02,91443000000
Apple Inc.,10-Q,2024,Q2,2023-10-01,2024-03-30,2024-05-03,62585000000
Apple Inc.,10-Q,2024,Q1,2023-10-01,2023-12-30,2024-02-02,39895000000
Apple Inc.,10-K,2023,FY,2022-09-25,2023-09-30,2023-11-03,110543000000
Apple Inc.,10-Q,2023,Q3,2022-09-25,2023-07-01,2023-08-04,88945000000
Apple Inc.,10-Q,2023,Q2,2022-09-25,2023-04-01,2023-05-05,62565000000
Apple Inc.,10-Q,2023,Q1,2022-09-25,2022-12-31,2023-02-03,34005000000
Apple Inc.,10-K,2022,FY,2021-09-26,2022-09-24,2022-10-28,122151000000
Apple Inc.,10-Q,2022,Q3,2021-09-26,2022-06-25,2022-07-29,98024000000
Apple Inc.,10-Q,2022,Q2,2021-09-26,2022-03-26,2022-04-29,75132000000
Apple Inc.,10-Q,2022,Q1,2021-09-26,2021-12-25,2022-01-28,46966000000
Apple Inc.,10-K,2021,FY,2020-09-27,2021-09-25,2021-10-29,104038000000
Apple Inc.,10-Q,2021,Q3,2020-09-27,2021-06-26,2021-07-28,83838000000
Apple Inc.,10-Q,2021,Q2,2020-09-27,2021-03-27,2021-04-29,62744000000
Apple Inc.,10-Q,2021,Q1,2020-09-27,2020-12-26,2021-01-28,38763000000
Apple Inc.,10-K,2020,FY,2019-09-29,2020-09-26,2020-10-30,80674000000
Apple Inc.,10-Q,2020,Q3,2019-09-29,2020-06-27,2020-07-31,60098000000
Apple Inc.,10-Q,2020,Q2,2019-09-29,2020-03-28,2020-05-01,43827000000
Apple Inc.,10-Q,2020,Q1,2019-09-29,2019-12-28,2020-01-29,30516000000
Apple Inc.,10-K,2019,FY,2018-09-30,2019-09-28,2019-10-31,69391000000
Apple Inc.,10-Q,2019,Q3,2018-09-30,2019-06-29,2019-07-31,49481000000
Apple Inc.,10-Q,2019,Q2,2018-09-30,2019-03-30,2019-05-01,37845000000
Apple Inc.,10-Q,2019,Q1,2018-09-30,2018-12-29,2019-01-30,26690000000
Apple Inc.,10-K,2018,FY,2017-10-01,2018-09-29,2018-11-05,77434000000
Apple Inc.,10-Q,2018,Q3,2017-10-01,2018-06-30,2018-08-01,57911000000
Apple Inc.,10-Q,2018,Q2,2017-10-01,2018-03-31,2018-05-02,43423000000
Apple Inc.,10-Q,2018,Q1,2017-10-01,2017-12-30,2018-02-02,28293000000
Apple Inc.,10-K,2017,FY,2016-09-25,2017-09-30,2017-11-03,63598000000
Apple Inc.,10-Q,2017,Q3,2016-09-25,2017-07-01,2017-08-02,47942000000
Apple Inc.,10-Q,2017,Q2,2016-09-25,2017-04-01,2017-05-03,39579000000
Apple Inc.,10-Q,2018,Q1,2016-09-25,2016-12-31,2018-02-02,27234000000
Apple Inc.,10-K,2017,FY,2015-09-27,2016-09-24,2017-11-03,65824000000
Apple Inc.,10-Q,2017,Q3,2015-09-27,2016-06-25,2017-08-02,49698000000
Apple Inc.,10-Q,2017,Q2,2015-09-27,2016-03-26,2017-05-03,39064000000
Apple Inc.,10-K,2017,FY,2014-09-28,2015-09-26,2017-11-03,81266000000
Apple Inc.,10-Q,2014,Q1,2013-09-29,2013-12-28,2014-01-28,22670000000
Apple Inc.,10-K,2013,FY,2012-09-30,2013-09-28,2013-10-30,53666000000
Apple Inc.,10-Q,2013,Q3,2012-09-30,2013-06-29,2013-07-24,43758000000
Apple Inc.,10-Q,2013,Q2,2012-09-30,2013-03-30,2013-04-24,35930000000
Apple Inc.,10-Q,2013,Q1,2012-09-30,2012-12-29,2013-01-24,23426000000
Apple Inc.,10-K,2012,FY,2011-09-25,2012-09-29,2012-10-31,50856000000
Apple Inc.,10-Q,2012,Q3,2011-09-25,2012-06-30,2012-07-25,41720000000
Apple Inc.,10-Q,2012,Q2,2011-09-25,2012-03-31,2012-04-25,31531000000
Apple Inc.,10-Q,2012,Q1,2011-09-25,2011-12-31,2012-01-25,17554000000
Apple Inc.,10-K,2011,FY,2010-09-26,2011-09-24,2011-10-26,37529000000
Apple Inc.,10-Q,2011,Q3,2010-09-26,2011-06-25,2011-07-20,27100000000
Apple Inc.,10-Q,2011,Q2,2010-09-26,2011-03-26,2011-04-21,15992000000
Apple Inc.,10-Q,2011,Q1,2010-09-26,2010-12-25,2011-01-19,9773000000
