date,ticker,open_price,close_price,high_price,low_price,volume
2026-04-30,EURUSD=X,1.1688,1.1685,1.1738,1.1656,0
2026-05-01,EURUSD=X,1.173,1.1729,1.1785,1.1719,0
2026-05-04,EURUSD=X,1.1726,1.1727,1.1738,1.1691,0
2026-05-05,EURUSD=X,1.1692,1.1692,1.1716,1.1677,0
2026-05-06,EURUSD=X,1.1715,1.1716,1.1797,1.1713,0
2026-05-07,EURUSD=X,1.1748,1.1747,1.178,1.1747,0
2026-05-08,EURUSD=X,1.1731,1.1732,1.1785,1.1725,0
2026-05-11,EURUSD=X,1.1769,1.1769,1.179,1.1749,0
2026-05-12,EURUSD=X,1.1776,1.178,1.1779,1.1723,0
2026-05-13,EURUSD=X,1.1736,1.1735,1.1743,1.1696,0
2026-05-14,EURUSD=X,1.1718,1.1716,1.1722,1.1672,0
2026-05-15,EURUSD=X,1.1662,1.1662,1.1665,1.1618,0
2026-05-18,EURUSD=X,1.1617,1.1614,1.1659,1.1609,0
2026-05-19,EURUSD=X,1.1654,1.1655,1.1655,1.1593,0
2026-05-20,EURUSD=X,1.1605,1.1607,1.1644,1.1584,0
2026-05-21,EURUSD=X,1.1625,1.1625,1.1637,1.1577,0
2026-05-22,EURUSD=X,1.1616,1.1621,1.1618,1.1589,0
2026-05-25,EURUSD=X,1.1641,1.1642,1.1655,1.163,0
2026-05-26,EURUSD=X,1.1636,1.1637,1.1647,1.1617,0
2026-05-27,EURUSD=X,1.1639,1.1637,1.1661,1.1624,0
2026-05-28,EURUSD=X,1.1618,1.1618,1.1658,1.1587,0
2026-05-29,EURUSD=X,1.1653,1.1653,1.1686,1.1626,0
2026-06-01,EURUSD=X,1.1648,1.1649,1.1667,1.1607,0
2026-06-02,EURUSD=X,1.1636,1.1635,1.1655,1.1629,0
2026-06-03,EURUSD=X,1.1622,1.1622,1.1636,1.1595,0
2026-06-04,EURUSD=X,1.1609,1.1609,1.1647,1.1599,0
2026-06-05,EURUSD=X,1.1614,1.1613,1.1646,1.1531,0
2026-06-08,EURUSD=X,1.1525,1.1523,1.1554,1.1501,0
2026-06-09,EURUSD=X,1.1528,1.1528,1.1578,1.1528,0
2026-06-10,EURUSD=X,1.1535,1.1535,1.1574,1.1534,0
2026-06-11,EURUSD=X,1.1538,1.1536,1.1558,1.1515,0
2026-06-12,EURUSD=X,1.1574,1.1576,1.1592,1.1558,0
2026-06-15,EURUSD=X,1.1606,1.1603,1.1623,1.1595,0
2026-06-16,EURUSD=X,1.1593,1.1594,1.1618,1.1575,0
2026-06-17,EURUSD=X,1.1609,1.161,1.1618,1.1587,0
2026-06-18,EURUSD=X,1.1511,1.1507,1.153,1.1454,0
2026-06-19,EURUSD=X,1.1464,1.1459,1.1476,1.1418,0
2026-06-22,EURUSD=X,1.1464,1.1463,1.1473,1.1426,0
2026-06-23,EURUSD=X,1.1425,1.1427,1.1439,1.1377,0
2026-06-24,EURUSD=X,1.1379,1.138,1.1384,1.1325,0
2026-06-25,EURUSD=X,1.1353,1.1354,1.1388,1.1334,0
